	CO	NO2	O3	SO2	PM2.5	PM10	aqi
1716	236.99	6.43	38.62	0.02	1.14	1.91	32.0
1717	188.59	2.96	60.8	0.01	3.0	9.59	55.0
1718	190.26	1.65	77.25	0.15	11.91	45.49	105.0
1719	188.59	2.27	62.94	0.0	4.33	15.51	62.0
1720	206.95	8.65	64.37	0.06	11.95	36.32	66.0
1721	203.61	6.17	69.38	0.1	13.37	35.54	82.0
1722	201.94	8.05	85.12	0.06	8.06	9.95	125.0
1723	183.58	2.01	70.81	0.01	3.27	9.86	86.0
1724	190.26	1.65	77.25	0.15	11.91	45.49	105.0
1725	180.24	1.37	67.23	0.01	4.12	14.72	75.0
1726	210.29	7.71	65.09	0.06	10.3	21.33	69.0
1727	173.57	1.44	60.8	0.01	2.42	7.62	55.0
1728	190.26	1.65	77.25	0.15	11.91	45.49	105.0
1729	198.6	2.96	70.1	0.03	9.91	40.23	84.0
1730	181.91	1.48	70.1	0.01	3.63	12.37	84.0
1731	181.91	1.74	72.96	0.01	3.25	10.07	93.0
1732	181.91	1.65	72.24	0.02	8.95	35.98	91.0
1733	205.28	6.86	65.8	0.08	13.11	37.41	71.0
1734	178.58	1.1	83.69	0.02	6.13	24.3	121.0
1735	175.24	2.55	85.12	0.05	5.19	8.17	125.0
1736	188.59	1.99	70.81	0.04	10.62	40.23	86.0
1737	183.58	1.97	76.53	0.03	10.17	32.21	103.0
1738	181.91	2.08	75.1	0.01	7.47	32.85	100.0
1739	203.61	6.17	69.38	0.1	13.37	35.54	82.0
1740	230.31	8.65	70.1	0.24	15.44	30.25	84.0
1741	247.0	11.82	50.78	0.13	13.08	27.82	43.0
1742	198.6	2.96	70.1	0.03	9.91	40.23	84.0
1743	203.61	6.17	69.38	0.1	13.37	35.54	82.0
1744	193.6	2.14	74.39	0.03	9.71	36.75	98.0
1745	180.24	0.78	87.26	0.05	6.36	22.2	130.0
1746	236.99	8.65	90.12	0.08	17.26	25.64	137.0
1747	183.58	2.87	66.52	0.01	1.54	3.95	73.0
1748	185.25	3.21	66.52	0.06	10.29	37.45	73.0
1749	188.59	2.42	72.96	0.05	10.76	46.17	93.0
1750	188.59	2.36	72.96	0.02	6.87	23.43	93.0
1751	210.29	7.71	65.09	0.06	10.3	21.33	69.0
1752	195.27	4.11	77.25	0.14	9.97	17.08	105.0
1753	195.27	4.11	77.25	0.14	9.97	17.08	105.0
1754	210.29	7.71	65.09	0.06	10.3	21.33	69.0
1755	195.27	4.11	77.25	0.14	9.97	17.08	105.0
1756	195.27	4.11	77.25	0.14	9.97	17.08	105.0
1757	210.29	7.71	65.09	0.06	10.3	21.33	69.0
1758	191.93	2.31	89.41	0.14	10.76	17.28	136.0
1759	176.91	1.65	84.4	0.08	5.75	9.17	123.0
1760	210.29	7.71	65.09	0.06	10.3	21.33	69.0
