zip_code,y-2016
95051,55634
95053,3222
95054,24718
95060,47227
95062,37365
95064,9692
95065,8551
95066,15642
95070,31268
95073,11407
95075,390
95076,85678
95110,19270
95111,64247
95112,61583
95113,1332
95116,55249
95117,30686
95118,31869
95119,10617
95120,37784
95121,38445
95122,58437
95123,66500
95124,49156
95125,53896
95126,35330
95127,66282
95128,36807
95129,40325
95130,14206
95131,30027
95132,40414
95133,27431
95134,21010
95135,21957
95136,44386
95138,19503
95139,7085
95140,273
95148,48201
95202,6559
95203,15489
95204,28124
95205,37362
95206,65151
95207,49632
95209,43362
95210,40718
95211,1665
95212,26094
95215,23635
95219,29506
95220,7371
95222,4976
95223,2884
95224,228
95225,609
95226,14
95227,805
95228,4498
95230,869
95231,4806
95232,168
95233,583
95234,112
95236,4196
95237,3124
95240,48065
95242,25752
95245,1958
95246,1071
95247,4709
95248,127
95249,4377
95251,538
95252,15068
95254,897
95255,1655
95257,454
95258,3882
95301,38356
95303,678
95304,15718
95305,28
95306,823
95307,42844
95310,2163
95311,1831
95312,290
95313,1077
95315,13108
95316,6416
95317,946
95318,403
95319,1593
95320,12759
95321,3263
95322,9025
95323,1083
95324,7610
95325,26
95326,9948
95327,7901
95328,6013
95329,2650
95330,20253
95333,2793
95334,16366
95335,171
95336,47808
95337,34391
95338,10784
95340,36541
95341,32787
95345,580
95346,1888
95348,33555
95350,51441
95351,49243
95354,25485
95355,58872
95356,32827
95357,11717
95358,32758
95360,12243
95361,33741
95363,26291
95364,0
95365,4855
95366,17118
95367,24657
95368,13826
95369,1011
95370,28124
95372,2068
95374,1702
95375,116
95376,51245
95377,32462
95379,3296
95380,41865
95382,37138
95383,3471
95385,396
95386,10324
95387,520
95388,13885
95389,1651
95391,14254
95401,39400
95403,46294
95404,40699
95405,21351
95407,41249
95409,26805
95410,890
95412,452
95415,1312
95417,237
95420,684
95421,1599
95422,15358
95423,3645
95425,10675
95426,1726
95427,203
95428,2540
95429,58
95430,0
95431,430
95432,445
95435,166
95436,5965
95437,14578
95439,825
95441,1909
95442,3080
95443,312
95444,653
95445,1792
95446,4529
95448,17481
95449,1679
95450,283
95451,12230
95452,1409
95453,10362
95454,2029
95456,721
95457,3076
95458,3176
95459,682
95460,2301
95461,2954
95462,1164
95463,49
95464,2412
95465,2140
95466,990
95467,5618
95468,1381
95469,1979
95470,6514
95471,599
95472,30260
95476,37534
95482,31941
95485,2607
95486,41
95488,239
95490,13054
95492,29515
95493,321
95494,209
95497,1092
95501,23284
95503,25830
95511,331
95514,254
95519,19441
95521,20911
95524,1944
95525,1569
95526,197
95527,586
95528,1191
95531,23500
95536,3140
95537,255
95540,13418
95542,2008
95543,792
95545,76
95546,3260
95547,1158
95548,1288
95549,942
95550,164
95551,1453
95552,635
95553,1274
95554,336
95555,338
95556,643
95558,458
95559,108
95560,1351
95562,3437
95563,705
95564,402
95565,934
95567,2048
95568,161
95569,340
95570,2079
95571,228
95573,1523
95585,537
95587,146
95589,966
95595,156
95601,178
95602,18472
95603,28826
95604,104
95605,14595
95606,129
95607,499
95608,60199
95610,44711
95612,964
95614,4318
95615,970
95616,49093
95618,27926
95619,5075
95620,21685
95621,41908
95623,3911
95624,64429
95625,54
95626,5871
95627,3873
95628,41649
95629,676
95630,74905
95631,6375
95632,30594
95633,3610
95634,3206
95635,861
95636,846
95637,349
95638,2238
95639,333
95640,10509
95641,1843
95642,6912
95645,2091
95646,64
95648,50341
95650,13157
95651,614
95652,966
95653,657
95655,4205
95658,6709
95659,788
95660,34303
95661,31034
95662,32441
95663,2443
95664,1357
95665,4901
95666,5170
95667,36859
95668,794
95669,2493
95670,54277
95672,5010
95673,15140
95674,891
95675,574
95677,23906
95678,41953
95679,20
95680,278
95681,1471
95682,30033
95683,6233
95684,3004
95685,4356
95686,1079
95687,66476
95688,36763
95689,1131
95690,2289
95691,36932
95692,5129
95693,6153
95694,9828
95695,39144
95697,430
95698,232
95699,143
95701,782
95703,829
95709,5096
95713,10296
95714,368
95715,89
95717,166
95720,49
95721,13
95722,4636
95724,0
95726,8816
95728,366
95735,27
95736,165
95742,10494
95746,23638
95747,61869
95757,46703
95758,63778
95762,40493
95765,36980
95776,23260
95811,6711
95814,10487
95815,25206
95816,17178
95817,13918
95818,20629
95819,18846
95820,35869
95821,35530
95822,44724
95823,76478
95824,30225
95825,33385
95826,36992
95827,20382
95828,60884
95829,26588
95830,953
95831,41859
95832,11313
95833,40029
95834,26560
95835,38847
95837,340
95838,37286
95841,19890
95842,32184
95843,47666
95864,23527
95901,32804
95903,1622
95910,134
95912,4693
95914,649
95915,9
95916,1102
95917,3313
95918,2468
95919,1184
95920,320
95922,539
95923,9
95925,143
95926,38465
95928,36374
95930,155
95932,7651
95934,367
95935,654
95936,234
95937,1400
95938,4229
95939,578
95941,586
95942,782
95943,886
95944,41
95945,25712
95946,9694
95947,1770
95948,10751
95949,19575
95950,519
95951,3073
95953,10476
95954,12509
95955,1325
95956,419
95957,837
95959,17534
95960,752
95961,27141
95962,1235
95963,14943
95965,20473
95966,30557
95968,1250
95969,27850
95970,500
95971,5952
95973,35297
95974,65
95975,1811
95977,1730
95978,115
95979,750
95981,96
95982,3487
95983,500
95984,39
95986,79
95987,6142
95988,8663
95991,40683
95993,36617
96001,34260
96002,32943
96003,44929
96006,389
96007,23354
96008,1483
96009,288
96010,194
96011,116
96013,4538
96014,146
96015,587
96016,497
96017,160
96019,10121
96020,2438
96021,16322
96022,16904
96023,1096
96024,962
96025,2121
96027,2390
96028,1403
96029,200
96031,175
96032,2518
96033,561
96034,220
96035,3398
96037,216
96038,602
96039,1044
96040,275
96041,3061
96044,937
96046,134
96047,799
96048,701
96049,28
96050,387
96051,1264
96052,1417
96054,260
96055,4002
96056,1693
96057,1305
96058,779
96059,604
96061,27
96062,1180
96063,188
96064,4881
96065,360
96067,6828
96068,131
96069,792
96071,180
96073,4174
96074,196
96075,304
96076,139
96080,27564
96084,416
96085,91
96086,304
96087,600
96088,4410
96090,467
96091,561
96092,300
96093,4031
96094,6446
96096,733
96097,9744
96101,5378
96103,1369
96104,576
96105,70
96106,223
96107,1129
96108,7
96109,741
96110,167
96111,30
96112,332
96113,2100
96114,3387
96115,179
96116,127
96117,300
96118,1629
96119,100
96120,1079
96121,302
96122,3532
96123,46
96124,385
96125,227
96126,39
96128,840
96129,132
96130,20812
96132,119
96133,202
96134,2203
96135,172
96136,47
96137,3707
96140,805
96141,464
96142,766
96143,3737
96145,2399
96146,968
96148,776
96150,29001
96155,0
96161,18255
